DateOfService,Program,CountOfServiceID
2018-08-14 00:00:00,Food Pantry,46
2020-02-11 00:00:00,HealthConnect,18
2022-01-21 00:00:00,Food Pantry,225
2022-05-13 00:00:00,ATI,7
2022-08-06 00:00:00,Food Pantry,93
2019-01-18 00:00:00,DV,17
2018-09-13 00:00:00,Buprenorphine,4
2021-03-03 00:00:00,Buprenorphine,3
2016-04-20 00:00:00,MHU,15
2016-08-10 00:00:00,TCE,12
2016-08-27 00:00:00,Food Pantry,101
2017-04-26 00:00:00,HealthConnect,19
2016-05-10 00:00:00,HealthConnect,1
2018-03-01 00:00:00,Food Pantry,5
2020-08-19 00:00:00,Food Pantry,274
2021-05-10 00:00:00,ATI,2
2022-06-23 00:00:00,Hotspotting,4
2017-08-01 00:00:00,MHU,24
2017-07-18 00:00:00,HealthConnect,15
2021-11-23 00:00:00,ATI,2
2021-10-15 00:00:00,HealthEquity,13
2016-05-19 00:00:00,TCE,33
2020-07-22 00:00:00,DV,12
2020-12-10 00:00:00,Buprenorphine,6
2016-09-27 00:00:00,Food Pantry,8
2019-03-18 00:00:00,Food Pantry,41
2018-08-13 00:00:00,Buprenorphine,5
2020-03-06 00:00:00,Food Pantry,134
2016-01-28 00:00:00,MHU,9
2017-02-02 00:00:00,HealthConnect,16
2019-07-24 00:00:00,HealthConnect,13
2016-02-26 00:00:00,TCE,6
2016-03-24 00:00:00,ORP,6
2016-06-05 00:00:00,Food Pantry,1
2018-07-17 00:00:00,DV,4
2021-01-04 00:00:00,DV,6
2019-04-15 00:00:00,MHU,7
2017-01-14 00:00:00,HealthConnect,17
2018-12-20 00:00:00,HealthConnect,8
2016-01-29 00:00:00,HealthConnect,16
2018-06-11 00:00:00,Food Pantry,14
2022-05-19 00:00:00,HealthEquity,18
2019-06-18 00:00:00,MHU,2
2020-06-23 00:00:00,HealthConnect,19
2019-03-27 00:00:00,MHU,43
2022-06-03 00:00:00,Food Pantry,187
2016-02-07 00:00:00,TCE,1
2018-11-27 00:00:00,DV,20
2019-02-26 00:00:00,Buprenorphine,1
2021-05-05 00:00:00,TPO,1
2021-05-17 00:00:00,DV,3
2017-03-02 00:00:00,PepAndPrep,1
2020-02-15 00:00:00,Buprenorphine,1
2022-07-28 00:00:00,DV,5
2020-12-30 00:00:00,Food Pantry,315
2017-09-22 00:00:00,MHU,21
2018-09-28 00:00:00,HealthConnect,8
2022-02-01 00:00:00,Buprenorphine,1
2017-03-31 00:00:00,Food Pantry,66
2019-07-10 00:00:00,HealthConnect,13
2018-05-09 00:00:00,DV,3
2020-06-22 00:00:00,Buprenorphine,5
2021-04-02 00:00:00,DV,1
2018-11-10 00:00:00,Food Pantry,103
2021-04-30 00:00:00,Food Pantry,248
2021-04-29 00:00:00,Buprenorphine,3
2019-12-18 00:00:00,PepAndPrep,4
2022-04-19 00:00:00,Food Pantry,104
2022-04-04 00:00:00,HealthEquity,11
2022-11-01 00:00:00,ClubConnect,1
2021-06-12 00:00:00,Food Pantry,150
2021-08-21 00:00:00,Buprenorphine,1
2016-06-16 00:00:00,MHU,14
2019-05-11 00:00:00,MHU,8
2022-04-12 00:00:00,ATI,1
2019-04-24 00:00:00,Buprenorphine,2
2022-12-27 00:00:00,DV,5
2022-12-14 00:00:00,ClubConnect,6
2017-10-14 00:00:00,HealthConnect,15
2020-01-09 00:00:00,Food Pantry,2
2022-05-25 00:00:00,ATI,1
2018-06-22 00:00:00,MHU,14
2022-04-27 00:00:00,Hotspotting,1
2016-01-27 00:00:00,ORP,3
2016-04-09 00:00:00,Food Pantry,90
2017-08-15 00:00:00,MHU,53
2019-03-28 00:00:00,DV,12
2019-09-17 00:00:00,Food Pantry,80
2020-05-16 00:00:00,HealthConnect,1
2019-01-23 00:00:00,DV,5
2021-07-13 00:00:00,DV,1
2022-01-14 00:00:00,Food Pantry,217
2019-02-20 00:00:00,Food Pantry,77
2019-08-14 00:00:00,MHU,2
2018-10-24 00:00:00,HealthConnect,10
2022-11-22 00:00:00,Hotspotting,2
2017-01-11 00:00:00,MHU,8
2021-09-22 00:00:00,Food Pantry,223
2022-11-07 00:00:00,ATI,3
2016-04-04 00:00:00,TCE,30
2016-06-17 00:00:00,HealthConnect,28
2018-07-02 00:00:00,HealthConnect,2
2016-06-20 00:00:00,ORP,11
2018-05-11 00:00:00,HealthConnect,7
2019-11-19 00:00:00,Buprenorphine,3
2020-04-20 00:00:00,Food Pantry,64
2018-03-12 00:00:00,MHU,45
2021-09-08 00:00:00,ATI,1
2016-07-20 00:00:00,Food Pantry,118
2018-08-31 00:00:00,DV,7
2019-06-14 00:00:00,Food Pantry,96
2020-07-14 00:00:00,PepAndPrep,14
2019-07-08 00:00:00,DV,11
2019-08-31 00:00:00,HealthConnect,28
2020-03-12 00:00:00,Buprenorphine,9
2022-06-01 00:00:00,DV,6
2022-11-21 00:00:00,Food Pantry,54
2016-02-27 00:00:00,META,3
2022-07-27 00:00:00,HealthEquity,7
2016-06-09 00:00:00,MHU,32
2018-08-24 00:00:00,DV,2
2020-10-07 00:00:00,Buprenorphine,1
2022-04-26 00:00:00,Food Pantry,156
2016-02-05 00:00:00,Food Pantry,46
2018-07-26 00:00:00,Food Pantry,3
2021-06-19 00:00:00,Food Pantry,200
2018-05-18 00:00:00,HealthConnect,5
2017-09-18 00:00:00,Food Pantry,14
2019-12-11 00:00:00,PepAndPrep,3
2016-11-16 00:00:00,HealthConnect,8
2017-02-21 00:00:00,Food Pantry,1
2022-06-01 00:00:00,ATI,6
2018-10-10 00:00:00,HealthConnect,17
2020-07-31 00:00:00,Food Pantry,404
2022-10-25 00:00:00,ClubConnect,2
2017-06-29 00:00:00,HealthConnect,5
2017-08-08 00:00:00,MHU,28
2019-08-09 00:00:00,Buprenorphine,2
2022-01-27 00:00:00,Buprenorphine,2
2022-11-07 00:00:00,DV,1
2019-09-24 00:00:00,Food Pantry,78
2017-04-05 00:00:00,Food Pantry,140
2020-06-15 00:00:00,Buprenorphine,12
2019-02-06 00:00:00,DV,8
2020-01-30 00:00:00,HealthConnect,25
2016-03-17 00:00:00,ORP,7
2018-11-17 00:00:00,Food Pantry,133
2021-04-02 00:00:00,ATI,1
2020-07-07 00:00:00,PepAndPrep,2
2020-01-22 00:00:00,Buprenorphine,10
2016-06-24 00:00:00,HealthConnect,13
2018-12-13 00:00:00,HealthConnect,3
2021-05-04 00:00:00,Buprenorphine,3
2021-09-29 00:00:00,Food Pantry,219
2021-12-23 00:00:00,HealthEquity,6
2018-12-04 00:00:00,DV,23
2016-03-02 00:00:00,HealthConnect,8
2017-01-04 00:00:00,MHU,5
2018-08-21 00:00:00,HealthConnect,16
2019-06-25 00:00:00,MHU,5
2022-12-27 00:00:00,ATI,1
2016-01-10 00:00:00,HealthConnect,45
2018-01-24 00:00:00,HealthConnect,22
2021-04-16 00:00:00,Food Pantry,258
2022-06-07 00:00:00,HealthEquity,22
2018-03-05 00:00:00,MHU,32
2019-10-23 00:00:00,DV,3
2022-04-12 00:00:00,DV,53
2017-04-28 00:00:00,MHU,18
2020-06-09 00:00:00,Food Pantry,329
2022-11-28 00:00:00,Food Pantry,97
2016-03-05 00:00:00,META,4
2016-06-07 00:00:00,TCE,15
2018-06-27 00:00:00,MHU,44
2019-07-01 00:00:00,DV,8
2020-03-05 00:00:00,Buprenorphine,5
2021-10-28 00:00:00,ATI,3
2016-06-27 00:00:00,ORP,1
2016-09-08 00:00:00,Food Pantry,2
2019-02-27 00:00:00,Food Pantry,151
2016-02-12 00:00:00,Food Pantry,65
2019-03-15 00:00:00,MHU,10
2019-10-22 00:00:00,PepAndPrep,2
2020-03-20 00:00:00,HealthConnect,1
2022-06-15 00:00:00,Food Pantry,177
2016-11-23 00:00:00,HealthConnect,6
2018-05-08 00:00:00,MHU,38
2019-05-14 00:00:00,HealthConnect,17
2021-07-24 00:00:00,HealthEquity,35
2020-08-18 00:00:00,Buprenorphine,5
2018-09-14 00:00:00,Food Pantry,95
2021-06-25 00:00:00,Buprenorphine,1
2016-08-12 00:00:00,MHU,13
2022-06-08 00:00:00,ATI,5
2022-12-28 00:00:00,ClubConnect,2
2017-11-07 00:00:00,Food Pantry,55
2018-07-07 00:00:00,HealthConnect,17
2020-04-27 00:00:00,Food Pantry,75
2021-02-04 00:00:00,DV,7
2017-06-19 00:00:00,MHU,26
2017-04-12 00:00:00,Food Pantry,168
2022-02-14 00:00:00,ATI,3
2019-06-20 00:00:00,Buprenorphine,3
2020-03-30 00:00:00,DV,13
2020-09-19 00:00:00,Food Pantry,268
2017-10-11 00:00:00,MHU,37
2021-04-09 00:00:00,ATI,3
2022-02-18 00:00:00,HealthEquity,12
2017-03-21 00:00:00,PepAndPrep,2
2017-08-18 00:00:00,HealthConnect,4
2019-01-30 00:00:00,DV,7
2020-04-01 00:00:00,Food Pantry,256
2020-09-17 00:00:00,DV,11
2016-07-06 00:00:00,HealthConnect,3
2018-04-27 00:00:00,Food Pantry,93
2017-09-13 00:00:00,HealthConnect,23
2018-11-09 00:00:00,Buprenorphine,8
2019-08-02 00:00:00,MHU,1
2016-10-06 00:00:00,TCE,2
2022-08-23 00:00:00,DV,3
2017-01-14 00:00:00,Food Pantry,103
2020-05-26 00:00:00,DV,1
2020-08-14 00:00:00,PepAndPrep,3
2016-03-14 00:00:00,HealthConnect,29
2018-01-03 00:00:00,Food Pantry,61
2020-06-23 00:00:00,Food Pantry,294
2020-12-09 00:00:00,DV,3
2017-06-05 00:00:00,MHU,12
2018-07-19 00:00:00,Food Pantry,2
2021-09-27 00:00:00,ATI,2
2016-07-15 00:00:00,TCE,39
2017-03-31 00:00:00,HealthConnect,13
2019-09-19 00:00:00,HealthConnect,2
2020-04-12 00:00:00,Buprenorphine,1
2020-08-17 00:00:00,DV,14
2022-03-04 00:00:00,HealthEquity,11
2018-10-09 00:00:00,Buprenorphine,1
2022-06-29 00:00:00,Food Pantry,182
2016-12-07 00:00:00,HealthConnect,11
2019-06-11 00:00:00,MHU,8
2020-07-24 00:00:00,Food Pantry,337
2022-12-08 00:00:00,ATI,8
2022-11-10 00:00:00,Hotspotting,1
2016-04-23 00:00:00,TCE,1
2018-09-12 00:00:00,DV,8
2021-01-05 00:00:00,Buprenorphine,1
2017-06-22 00:00:00,HealthConnect,12
2018-08-07 00:00:00,Food Pantry,67
2022-03-23 00:00:00,HealthEquity,13
2020-08-19 00:00:00,HealthConnect,6
2016-05-20 00:00:00,ORP,4
2021-03-26 00:00:00,ATI,2
2022-07-30 00:00:00,Food Pantry,83
2020-12-28 00:00:00,DV,8
2017-07-27 00:00:00,MHU,1
2018-10-01 00:00:00,DV,10
2018-12-31 00:00:00,Buprenorphine,1
2018-10-29 00:00:00,Food Pantry,45
2019-01-29 00:00:00,MHU,1
2020-05-02 00:00:00,Food Pantry,404
2022-10-21 00:00:00,Food Pantry,180
2018-11-24 00:00:00,HealthConnect,4
2018-06-29 00:00:00,Buprenorphine,1
2016-11-11 00:00:00,Food Pantry,103
2017-05-05 00:00:00,MHU,9
2021-12-06 00:00:00,Buprenorphine,3
2017-05-27 00:00:00,Food Pantry,104
2022-09-23 00:00:00,DV,4
2018-05-16 00:00:00,Food Pantry,80
2020-06-03 00:00:00,Buprenorphine,1
2020-11-03 00:00:00,Food Pantry,239
2021-02-23 00:00:00,ATI,2
2016-06-14 00:00:00,TCE,27
2019-02-15 00:00:00,HealthConnect,15
2020-09-25 00:00:00,Buprenorphine,3
2022-12-15 00:00:00,DV,10
2019-06-02 00:00:00,Food Pantry,6
2020-05-21 00:00:00,Food Pantry,3
2022-11-09 00:00:00,Food Pantry,161
2017-04-19 00:00:00,HealthConnect,26
2019-10-08 00:00:00,HealthConnect,16
2020-04-03 00:00:00,PepAndPrep,5
2020-12-04 00:00:00,Food Pantry,390
2020-07-29 00:00:00,DV,14
2016-06-08 00:00:00,ORP,3
2018-05-02 00:00:00,DV,1
2019-02-08 00:00:00,Food Pantry,87
2020-10-20 00:00:00,DV,17
2017-03-05 00:00:00,Food Pantry,3
2018-09-20 00:00:00,Buprenorphine,2
2020-08-12 00:00:00,Food Pantry,237
2020-04-06 00:00:00,DV,13
2021-11-16 00:00:00,ATI,6
2017-01-23 00:00:00,MHU,20
2018-01-08 00:00:00,DV,1
2019-04-25 00:00:00,HealthConnect,20
2022-12-10 00:00:00,Food Pantry,113
2016-05-26 00:00:00,TCE,18
2018-07-24 00:00:00,DV,4
2019-11-08 00:00:00,HealthConnect,7
2022-02-07 00:00:00,ATI,1
2022-08-18 00:00:00,Food Pantry,82
2019-04-22 00:00:00,MHU,25
2016-03-04 00:00:00,TCE,1
2017-08-11 00:00:00,HealthConnect,9
2019-07-17 00:00:00,HealthConnect,10
2022-05-13 00:00:00,DV,3
2021-03-16 00:00:00,Food Pantry,168
2016-09-12 00:00:00,MHU,14
2021-05-12 00:00:00,TPO,16
2021-11-17 00:00:00,Buprenorphine,2
2022-11-06 00:00:00,ClubConnect,1
2019-06-28 00:00:00,HealthConnect,4
2020-02-14 00:00:00,DV,4
2022-08-04 00:00:00,DV,5
2018-12-18 00:00:00,Food Pantry,89
2021-06-07 00:00:00,Food Pantry,66
2022-11-29 00:00:00,Hotspotting,2
2018-12-10 00:00:00,MHU,1
2020-09-16 00:00:00,PepAndPrep,2
2017-07-11 00:00:00,HealthConnect,23
2019-11-12 00:00:00,Buprenorphine,1
2021-11-22 00:00:00,HealthEquity,9
2016-12-31 00:00:00,Food Pantry,48
2019-06-21 00:00:00,Food Pantry,62
2019-04-03 00:00:00,MHU,39
2020-12-23 00:00:00,Food Pantry,322
2021-04-14 00:00:00,ATI,1
2022-02-08 00:00:00,Buprenorphine,1
2019-04-06 00:00:00,HealthConnect,13
2020-05-07 00:00:00,DV,13
2017-03-24 00:00:00,Food Pantry,121
2021-06-26 00:00:00,Food Pantry,155
2019-07-22 00:00:00,Food Pantry,22
2022-09-30 00:00:00,ATI,8
2020-08-28 00:00:00,PepAndPrep,11
2016-04-05 00:00:00,META,8
2020-10-08 00:00:00,TPO,7
2021-08-20 00:00:00,DV,5
2016-07-28 00:00:00,ORP,4
2019-03-30 00:00:00,Food Pantry,95
2019-11-27 00:00:00,HealthConnect,3
2017-04-24 00:00:00,Food Pantry,1
2020-05-06 00:00:00,PepAndPrep,2
2018-03-13 00:00:00,DV,2
2018-06-25 00:00:00,HealthConnect,4
2019-05-24 00:00:00,DV,1
2021-07-07 00:00:00,Buprenorphine,1
2017-10-26 00:00:00,Food Pantry,4
2018-06-08 00:00:00,MHU,29
2020-01-03 00:00:00,Buprenorphine,1
2018-03-03 00:00:00,HealthConnect,42
2019-04-30 00:00:00,Food Pantry,68
2021-04-15 00:00:00,Buprenorphine,7
2021-10-18 00:00:00,Food Pantry,28
2020-02-13 00:00:00,PepAndPrep,1
2022-03-29 00:00:00,ATI,3
2018-01-17 00:00:00,Food Pantry,82
2019-11-01 00:00:00,Food Pantry,108
2021-05-05 00:00:00,Food Pantry,183
2021-09-28 00:00:00,Buprenorphine,1
2022-06-20 00:00:00,ATI,5
2019-10-04 00:00:00,DV,3
2016-05-02 00:00:00,MHU,9
2017-05-08 00:00:00,Food Pantry,7
2017-12-19 00:00:00,MHU,30
2022-01-19 00:00:00,ATI,2
2016-02-08 00:00:00,ORP,3
2016-07-01 00:00:00,Food Pantry,78
2016-03-23 00:00:00,TCE,27
2019-12-09 00:00:00,Food Pantry,35
2020-03-31 00:00:00,Buprenorphine,4
2022-11-02 00:00:00,Food Pantry,212
2016-03-09 00:00:00,Food Pantry,70
2016-06-01 00:00:00,ORP,5
2019-02-01 00:00:00,Food Pantry,81
2019-10-01 00:00:00,HealthConnect,19
2019-11-11 00:00:00,DV,7
2021-06-19 00:00:00,TPO,28
2016-01-27 00:00:00,META,7
2016-03-25 00:00:00,MHU,13
2022-07-19 00:00:00,Hotspotting,1
2018-07-07 00:00:00,Food Pantry,83
2019-03-06 00:00:00,HealthConnect,24
2017-02-23 00:00:00,PepAndPrep,3
2019-01-04 00:00:00,DV,7
2021-06-24 00:00:00,DV,2
2021-12-14 00:00:00,Food Pantry,157
2021-08-19 00:00:00,HealthEquity,13
2016-10-28 00:00:00,HealthConnect,7
2018-03-15 00:00:00,Food Pantry,5
2021-02-06 00:00:00,Food Pantry,214
2018-01-05 00:00:00,HealthConnect,4
2021-03-02 00:00:00,DV,5
2017-04-04 00:00:00,MHU,45
2022-08-16 00:00:00,ATI,6
2019-08-28 00:00:00,Buprenorphine,7
2019-08-08 00:00:00,DV,2
2022-02-15 00:00:00,Buprenorphine,1
2017-03-17 00:00:00,Food Pantry,103
2022-05-05 00:00:00,HealthEquity,16
2017-06-03 00:00:00,HealthConnect,30
2019-04-16 00:00:00,DV,13
2020-04-27 00:00:00,HealthConnect,11
2016-10-18 00:00:00,TCE,2
2016-11-23 00:00:00,Food Pantry,108
2019-05-14 00:00:00,Food Pantry,91
2020-10-05 00:00:00,PepAndPrep,4
2020-10-26 00:00:00,Buprenorphine,1
2018-07-16 00:00:00,MHU,58
2021-06-17 00:00:00,ATI,2
2016-04-28 00:00:00,Food Pantry,4
2019-03-23 00:00:00,Food Pantry,66
2020-04-22 00:00:00,PepAndPrep,1
2021-09-10 00:00:00,Food Pantry,220
2016-02-12 00:00:00,HealthConnect,14
2018-08-02 00:00:00,HealthConnect,19
2018-11-29 00:00:00,Food Pantry,1
2021-05-19 00:00:00,Food Pantry,216
2022-03-24 00:00:00,ATI,2
2016-10-20 00:00:00,MHU,26
2022-10-13 00:00:00,ClubConnect,4
2018-01-22 00:00:00,Food Pantry,52
2020-07-12 00:00:00,Food Pantry,2
2016-03-16 00:00:00,TCE,6
2017-06-27 00:00:00,Food Pantry,103
2018-02-24 00:00:00,HealthConnect,29
2020-08-14 00:00:00,HealthConnect,22
2019-04-05 00:00:00,Buprenorphine,1
2020-01-14 00:00:00,DV,2
2016-12-23 00:00:00,MHU,3
2020-03-24 00:00:00,Buprenorphine,8
2022-03-10 00:00:00,ATI,1
2016-08-20 00:00:00,Food Pantry,110
2017-11-02 00:00:00,HealthConnect,5
2018-11-15 00:00:00,DV,22
2020-01-28 00:00:00,Food Pantry,104
2022-07-18 00:00:00,Food Pantry,47
2017-10-30 00:00:00,MHU,22
2022-08-16 00:00:00,DV,1
2020-02-10 00:00:00,Buprenorphine,1
2022-10-11 00:00:00,HealthEquity,11
2016-11-04 00:00:00,HealthConnect,12
2021-08-12 00:00:00,HealthEquity,17
2016-03-17 00:00:00,META,7
2017-02-16 00:00:00,PepAndPrep,3
2019-08-07 00:00:00,PepAndPrep,3
2022-02-02 00:00:00,Food Pantry,190
2016-07-13 00:00:00,HealthConnect,5
2017-05-17 00:00:00,MHU,57
2020-08-10 00:00:00,DV,2
2022-08-23 00:00:00,ATI,3
2018-05-04 00:00:00,Food Pantry,97
2021-11-05 00:00:00,Buprenorphine,1
2017-06-10 00:00:00,HealthConnect,24
2017-10-07 00:00:00,Food Pantry,86
2019-06-19 00:00:00,DV,17
2019-07-09 00:00:00,Buprenorphine,1
2020-08-31 00:00:00,Food Pantry,103
2016-11-30 00:00:00,Food Pantry,119
2018-05-30 00:00:00,HealthConnect,7
2019-02-25 00:00:00,DV,5
2019-10-31 00:00:00,Buprenorphine,3
2020-01-11 00:00:00,HealthConnect,27
2020-09-28 00:00:00,PepAndPrep,20
2022-03-16 00:00:00,HealthEquity,2
2016-01-24 00:00:00,Food Pantry,1
2019-07-03 00:00:00,Food Pantry,100
2022-05-27 00:00:00,Food Pantry,192
2022-05-16 00:00:00,Hotspotting,1
2021-10-30 00:00:00,Food Pantry,152
2019-07-29 00:00:00,HealthConnect,42
2021-06-12 00:00:00,TPO,32
2018-04-20 00:00:00,DV,2
2020-03-03 00:00:00,PepAndPrep,1
2018-01-29 00:00:00,Food Pantry,33
2016-04-02 00:00:00,HealthConnect,18
2016-08-31 00:00:00,MHU,18
2018-09-21 00:00:00,HealthConnect,9
2019-07-26 00:00:00,MHU,9
2020-11-20 00:00:00,DV,1
2018-09-01 00:00:00,Buprenorphine,1
2017-11-09 00:00:00,HealthConnect,20
2022-03-17 00:00:00,ATI,1
2016-04-05 00:00:00,ORP,3
2020-01-07 00:00:00,DV,2
2016-01-26 00:00:00,TCE,20
2020-02-03 00:00:00,Buprenorphine,3
2020-02-04 00:00:00,Food Pantry,100
2020-11-13 00:00:00,DV,1
2017-10-23 00:00:00,MHU,35
2022-10-06 00:00:00,ClubConnect,2
2018-09-26 00:00:00,DV,9
2020-06-11 00:00:00,HealthConnect,18
2016-12-02 00:00:00,TCE,1
2016-05-05 00:00:00,Food Pantry,8
2021-04-23 00:00:00,TPO,23
2022-09-06 00:00:00,Food Pantry,62
2018-02-14 00:00:00,MHU,37
2018-11-08 00:00:00,DV,7
2020-12-22 00:00:00,Buprenorphine,10
2021-04-28 00:00:00,DV,5
2022-02-09 00:00:00,Food Pantry,253
2018-05-11 00:00:00,Food Pantry,87
2019-01-08 00:00:00,HealthConnect,10
2019-07-31 00:00:00,PepAndPrep,3
2017-03-28 00:00:00,MHU,24
2021-10-29 00:00:00,Buprenorphine,2
2022-10-12 00:00:00,ATI,3
2016-09-01 00:00:00,HealthConnect,26
2020-12-11 00:00:00,Food Pantry,324
2020-05-16 00:00:00,Food Pantry,456
2017-07-13 00:00:00,MHU,2
2019-10-24 00:00:00,Buprenorphine,1
2016-08-22 00:00:00,TCE,27
2019-07-10 00:00:00,Food Pantry,55
2019-04-13 00:00:00,HealthConnect,19
2020-07-30 00:00:00,Buprenorphine,5
2022-10-19 00:00:00,DV,3
2018-10-03 00:00:00,Food Pantry,71
2021-03-23 00:00:00,Food Pantry,181
2021-07-13 00:00:00,ATI,1
2020-09-09 00:00:00,PepAndPrep,13
2022-03-12 00:00:00,Food Pantry,124
2016-04-12 00:00:00,META,2
2019-12-04 00:00:00,HealthConnect,21
2017-02-18 00:00:00,MHU,1
2020-01-27 00:00:00,Buprenorphine,4
2020-06-02 00:00:00,DV,4
2020-08-21 00:00:00,PepAndPrep,2
2016-10-16 00:00:00,Food Pantry,2
2019-04-06 00:00:00,Food Pantry,77
2017-06-12 00:00:00,MHU,40
2022-01-12 00:00:00,ATI,5
2016-03-30 00:00:00,TCE,9
2017-01-07 00:00:00,Food Pantry,41
2017-09-06 00:00:00,HealthConnect,8
2018-10-22 00:00:00,Food Pantry,41
2021-09-20 00:00:00,ATI,1
2018-03-06 00:00:00,DV,2
2022-10-14 00:00:00,Food Pantry,199
2016-01-20 00:00:00,META,9
2016-07-22 00:00:00,TCE,9
2016-01-07 00:00:00,TCE,18
2016-05-13 00:00:00,ORP,4
2019-09-12 00:00:00,HealthConnect,1
2017-03-21 00:00:00,MHU,43
2016-08-20 00:00:00,HealthConnect,29
2019-02-08 00:00:00,HealthConnect,14
2019-04-29 00:00:00,MHU,10
2016-03-11 00:00:00,TCE,44
2018-10-08 00:00:00,DV,1
2021-09-21 00:00:00,Buprenorphine,1
2017-08-11 00:00:00,Food Pantry,94
2020-03-19 00:00:00,Buprenorphine,12
2019-02-13 00:00:00,Food Pantry,50
2021-08-03 00:00:00,Food Pantry,199
2019-02-05 00:00:00,MHU,5
2022-07-23 00:00:00,Food Pantry,86
2017-04-19 00:00:00,Food Pantry,173
2022-03-17 00:00:00,DV,3
2016-11-11 00:00:00,HealthConnect,24
2022-09-30 00:00:00,DV,2
2019-08-17 00:00:00,Food Pantry,97
2021-04-16 00:00:00,TPO,22
2016-09-20 00:00:00,HealthConnect,3
2016-05-01 00:00:00,META,1
2017-11-28 00:00:00,HealthConnect,2
2019-12-19 00:00:00,DV,1
2022-06-08 00:00:00,DV,2
2017-05-12 00:00:00,MHU,7
2020-03-11 00:00:00,DV,7
2017-05-20 00:00:00,Food Pantry,129
2018-09-07 00:00:00,DV,5
2020-07-21 00:00:00,PepAndPrep,13
2020-10-27 00:00:00,Food Pantry,266
2021-05-12 00:00:00,Food Pantry,235
